"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
159;70-79;184;2021-04-06
161;70-79;77;2021-04-06
163;70-79;97;2021-04-06
165;70-79;92;2021-04-06
167;70-79;126;2021-04-06
169;70-79;170;2021-04-06
173;70-79;141;2021-04-06
175;70-79;110;2021-04-06
183;70-79;96;2021-04-06
185;70-79;140;2021-04-06
187;70-79;65;2021-04-06
190;70-79;86;2021-04-06
201;70-79;64;2021-04-06
210;70-79;130;2021-04-06
217;70-79;228;2021-04-06
219;70-79;136;2021-04-06
223;70-79;88;2021-04-06
230;70-79;144;2021-04-06
240;70-79;168;2021-04-06
250;70-79;101;2021-04-06
253;70-79;134;2021-04-06
259;70-79;172;2021-04-06
260;70-79;67;2021-04-06
265;70-79;192;2021-04-06
269;70-79;71;2021-04-06
270;70-79;130;2021-04-06
306;70-79;85;2021-04-06
316;70-79;136;2021-04-06
320;70-79;72;2021-04-06
326;70-79;114;2021-04-06
329;70-79;47;2021-04-06
330;70-79;211;2021-04-06
336;70-79;69;2021-04-06
340;70-79;46;2021-04-06
350;70-79;59;2021-04-06
360;70-79;84;2021-04-06
370;70-79;199;2021-04-06
376;70-79;144;2021-04-06
390;70-79;76;2021-04-06
400;70-79;75;2021-04-06
410;70-79;51;2021-04-06
420;70-79;33;2021-04-06
430;70-79;69;2021-04-06
440;70-79;29;2021-04-06
450;70-79;62;2021-04-06
461;70-79;269;2021-04-06
479;70-79;83;2021-04-06
480;70-79;37;2021-04-06
482;70-79;17;2021-04-06
492;70-79;6;2021-04-06
510;70-79;42;2021-04-06
530;70-79;56;2021-04-06
540;70-79;78;2021-04-06
550;70-79;41;2021-04-06
561;70-79;185;2021-04-06
563;70-79;11;2021-04-06
573;70-79;86;2021-04-06
575;70-79;52;2021-04-06
580;70-79;86;2021-04-06
607;70-79;70;2021-04-06
615;70-79;126;2021-04-06
621;70-79;136;2021-04-06
630;70-79;164;2021-04-06
657;70-79;105;2021-04-06
661;70-79;117;2021-04-06
665;70-79;31;2021-04-06
671;70-79;44;2021-04-06
706;70-79;64;2021-04-06
707;70-79;45;2021-04-06
710;70-79;58;2021-04-06
727;70-79;34;2021-04-06
